utt_keys,utterance,emotion,v,a,d,emo_evo,start,end
Ses02F_impro07_M034,,exc,4,3.5,3.5,"[['exc'], ['exc'], ['neu']]",192.5002,195.3199
Ses02F_impro07_F035,,exc,4.5,4.5,4,"[['exc'], ['exc'], ['exc'], ['exc']]",195.3825,199.0482
Ses02F_impro07_M035,,xxx,4,3,3.5,"[['exc'], ['hap'], ['neu']]",198.3914,203.6839
Ses02F_impro07_F036,,exc,4,4.5,4,"[['exc'], ['exc'], ['exc'], ['exc']]",200.2705,202.51
Ses02F_impro07_F037,,exc,4,3,4,"[['exc'], ['exc'], ['exc'], ['neu']]",202.57,204.21
Ses02F_impro05_F000,,neu,3.5,3,2.5,"[['neu'], ['neu'], ['neu'], ['neu']]",4.1392,7.7911
Ses02F_impro05_M000,,neu,3,2.5,2,"[['neu'], ['neu'], ['neu']]",8.3,12.93
Ses02F_impro05_F001,,neu,3,3,2.5,"[['neu'], ['neu'], ['neu'], ['neu']]",11.43,18.72
Ses02F_impro05_M001,,neu,3,2.5,2.5,"[['neu'], ['neu'], ['neu']]",18.77,27.35
Ses02F_impro05_F002,,sur,2,2.5,2.5,"[['sur'], ['sur', 'fea'], ['oth'], ['dis']]",26.75,29.37
Ses02F_impro05_M002,,neu,3,2.5,2,"[['neu'], ['neu'], ['neu']]",29.42,35.95
Ses02F_impro05_F003,,sur,2.5,3.5,3,"[['sur'], ['fru', 'dis'], ['sur'], ['fru']]",35.2,39.8027
Ses02F_impro05_M003,,neu,3,2.5,2.5,"[['neu'], ['neu'], ['neu']]",39.82,47.17
Ses02F_impro05_M004,,neu,3.5,2.5,2.5,"[['neu'], ['neu'], ['neu']]",47.18,54.43
Ses02F_impro05_F004,,neu,3,2.5,2.5,"[['neu'], ['dis'], ['neu'], ['dis']]",52.65,54.11
Ses02F_impro05_M005,,neu,3,2.5,1.5,"[['neu'], ['neu'], ['neu']]",54.52,58.9138
Ses02F_impro05_F005,,sur,1.5,4,4,"[['sur'], ['fru', 'sur', 'ang'], ['fru', 'sur'], ['fru', 'sur']]",59.06,74.78
Ses02F_impro05_M006,,neu,3,2.5,2.5,"[['neu'], ['oth'], ['neu']]",74.43,84.45
Ses02F_impro05_F006,,ang,2,4.5,4,"[['ang'], ['fru', 'ang'], ['fru', 'ang'], ['dis', 'ang']]",82.29,90.68
Ses02F_impro05_M007,,neu,2.5,3,2.5,"[['neu'], ['neu'], ['neu']]",90.77,97.63
Ses02F_impro05_F007,,fru,2.5,4,4,"[['fru'], ['fru', 'dis'], ['fru', 'ang'], ['fru', 'ang']]",95.42,101.5979
Ses02F_impro05_M008,,neu,2.5,2.5,2.5,"[['neu'], ['neu'], ['neu']]",101.6919,109.68
Ses02F_impro05_F008,,xxx,1.5,4,3,"[['ang'], ['fru', 'oth', 'ang'], ['fru'], ['ang']]",109.53,115.69
Ses02F_impro05_F009,,xxx,1.5,4,2.5,"[['fru'], ['sad', 'ang'], ['fru', 'ang'], ['fru']]",115.72,120.15
Ses02F_impro05_M009,,neu,2.5,3,2,"[['neu'], ['oth'], ['neu']]",118.1619,122.1723
Ses02F_impro05_F010,,ang,2,4,3.5,"[['ang'], ['ang'], ['fru'], ['dis', 'ang']]",121.61,124.57
Ses02F_impro05_M010,,neu,2.5,2.5,3,"[['neu'], ['neu'], ['neu']]",124.06,131.2021
Ses02F_impro05_F011,,fru,2.5,3,3,"[['fru'], ['fru'], ['neu'], ['fru']]",130.42,132.35
Ses02F_impro05_M011,,neu,2.5,3,2.5,"[['neu'], ['neu'], ['neu']]",132.543,140.2
Ses02F_impro05_F012,,xxx,1.5,4.5,4,"[['ang'], ['fru', 'dis'], ['fru', 'ang'], ['dis', 'ang']]",138.64,148.6
Ses02F_impro05_M012,,neu,2.5,3,3.5,"[['neu'], ['oth'], ['neu']]",147.74,164.39
Ses02F_impro05_F013,,fru,2,3.5,3.5,"[['fru'], ['fru', 'ang'], ['fru'], ['dis', 'ang']]",163.63,176.7571
Ses02F_impro05_M013,,neu,2.5,2,2.5,"[['neu'], ['neu'], ['neu']]",176.48,180.5
Ses02F_impro05_F014,,fru,1.5,3.5,3,"[['fru'], ['fru', 'dis', 'ang'], ['fru'], ['fru']]",179.54,182.65
Ses02F_impro05_M014,,neu,2.5,3,3,"[['fru'], ['neu'], ['neu']]",182.6,189.65
Ses02F_impro05_F015,,fru,2,2.5,3.5,"[['fru'], ['fru'], ['fru'], ['fru', 'dis']]",189.56,192.51
Ses02F_impro05_M015,,neu,2.5,2.5,1.5,"[['neu'], ['neu'], ['neu']]",189.66,191.54
Ses02F_impro05_F016,,fru,1.5,3.5,3.5,"[['fru'], ['fru', 'ang'], ['fru'], ['fru', 'dis']]",194.0678,206.9469
Ses02F_impro05_M016,,neu,2.5,3.5,3.5,"[['fru'], ['neu'], ['neu']]",205.22,217.07
Ses02F_impro05_F017,,fru,2,3.5,3.5,"[['fru'], ['fru', 'ang'], ['fru', 'ang'], ['dis']]",217.09,224.4595
Ses02F_impro05_M017,,neu,2.5,3,3,"[['neu'], ['neu'], ['neu']]",217.08,220.45
Ses02F_impro05_M018,,neu,2.5,3,3,"[['fru'], ['neu'], ['neu']]",224.51,226.28
Ses02F_impro05_F018,,fru,2,2.5,4,"[['fru'], ['fru', 'dis'], ['fru'], ['ang']]",225.49,227.94
Ses02F_impro05_M019,,neu,3,2.5,3,"[['neu'], ['neu'], ['neu']]",227.81,242.31
Ses02F_impro05_F019,,ang,2,3.5,4,"[['ang'], ['ang'], ['fru'], ['ang']]",241.32,247.38
Ses02F_impro05_M020,,neu,2.5,3,3.5,"[['neu'], ['neu'], ['fru']]",248.0522,265.9529
Ses02F_impro05_F020,,fru,2.5,2.5,3,"[['fru'], ['oth'], ['fru'], ['dis']]",265.71,268.34
Ses02F_impro05_M021,,neu,2.5,2.5,2.5,"[['neu'], ['neu'], ['fru']]",268.5221,274.21
Ses02F_impro05_F021,,xxx,2.5,2,2,"[['sad'], ['oth'], ['fru'], ['dis']]",270.81,271.98
Ses02F_impro05_F022,,fru,2.5,3,3,"[['fru'], ['oth'], ['fru'], ['dis']]",274.01,276.5639
Ses02M_script02_1_M000,,exc,4,3.5,2.5,"[['fru'], ['exc'], ['exc']]",4.93,8.28
Ses02M_script02_1_M001,,exc,4.5,3.5,2.5,"[['fru'], ['exc'], ['exc']]",8.36,12.78
Ses02M_script02_1_M002,,xxx,4,2,2,"[['fru'], ['exc'], ['hap']]",13.17,19.08
Ses02M_script02_1_M003,,exc,4,3,2,"[['exc'], ['exc'], ['exc']]",19.11,20.54
Ses02M_script02_1_F000,,neu,2.5,2.5,2,"[['fru', 'sad'], ['neu'], ['neu']]",20.19,21.58
Ses02M_script02_1_M004,,exc,4,3,2,"[['exc'], ['exc'], ['exc']]",21.92,28.18
Ses02M_script02_1_M005,,exc,4,3,1.5,"[['exc'], ['exc'], ['exc']]",28.39,34
Ses02M_script02_1_M006,,exc,2.5,2.5,2.5,"[['fru'], ['exc'], ['exc']]",34.41,43.27
Ses02M_script02_1_F001,,neu,2,2,2,"[['fru'], ['neu'], ['neu']]",42.86,44.95
Ses02M_script02_1_M007,,fru,2.5,2,2,"[['fru'], ['neu'], ['fru']]",45.24,48.45
Ses02M_script02_1_F002,,fru,2,2.5,3,"[['fru'], ['neu'], ['fru']]",48,49.83
Ses02M_script02_1_M008,,fru,3,3,2,"[['fru'], ['neu'], ['fru']]",50.4,51.75
Ses02M_script02_1_F003,,fru,2,3,3,"[['fru'], ['ang'], ['fru']]",51.4,53.84
Ses02M_script02_1_M009,,xxx,2.5,2,2,"[['exc'], ['neu'], ['fru']]",53.54,55.81
Ses02M_script02_1_F004,,fru,2,3.5,3,"[['fru'], ['ang'], ['fru']]",54.95,60.17
Ses02M_script02_1_M010,,xxx,3.5,2.5,2,"[['exc'], ['neu'], ['fru']]",59.61,66.04
Ses02M_script02_1_M011,,xxx,4,2.5,2,"[['fru'], ['neu'], ['hap']]",66.07,71.29
Ses02M_script02_1_M012,,xxx,4,2.5,2,"[['exc'], ['neu'], ['hap']]",71.59,76.88
Ses02M_script02_1_F005,,neu,2.5,1.5,2,"[['sad'], ['neu'], ['neu']]",76.53,78.27
Ses02M_script02_1_M013,,exc,3.5,3,2.5,"[['exc'], ['exc'], ['exc']]",78.2894,85.75
Ses02M_script02_1_M014,,exc,3.5,3,2.5,"[['fru'], ['exc'], ['exc']]",85.87,92.41
Ses02M_script02_1_M015,,exc,4,3.5,2,"[['exc'], ['exc'], ['exc']]",92.4252,97.22
Ses02M_script02_1_M016,,exc,4,2.5,2,"[['fru'], ['exc'], ['exc']]",99.7938,106.1
Ses02M_script02_1_F006,,neu,2,2.5,2.5,"[['sad'], ['neu'], ['neu']]",105.79,107.41
Ses02M_script02_1_M017,,xxx,3,3.5,2,"[['exc'], ['neu'], ['sur']]",107.52,109.19
Ses02M_script02_1_F007,,fru,2,3,2.5,"[['fru'], ['ang'], ['fru']]",108.99,111.68
Ses02M_script02_1_M018,,fru,2.5,3.5,3,"[['fru'], ['neu'], ['fru']]",111.78,117.13
Ses02M_script02_1_F008,,fru,2,3,3,"[['fru'], ['ang'], ['fru']]",116.81,119.05
Ses02M_script02_1_M019,,xxx,2.5,3,3,"[['fru'], ['neu'], ['exc']]",118.74,119.85
Ses02M_script02_1_F009,,fru,2.5,3,3,"[['fru'], ['neu'], ['fru']]",119.47,121.15
Ses02M_script02_1_M020,,xxx,2.5,3.5,3,"[['exc'], ['neu'], ['fru']]",120.74,122.42
Ses02M_script02_1_F010,,fru,2.5,2.5,2.5,"[['fru'], ['neu'], ['fru']]",122.08,124.08
Ses02M_script02_1_M021,,xxx,2.5,2.5,3,"[['exc'], ['neu'], ['fru']]",124.1,132.91
Ses02M_script02_1_F011,,neu,2,3,3,"[['fru'], ['neu'], ['neu']]",132.71,134.56
Ses02M_script02_1_M022,,sur,2.5,3.5,2,"[['exc'], ['sur'], ['sur']]",134.64,136.12
Ses02M_script02_1_F012,,fru,2,3.5,3,"[['fru'], ['ang'], ['fru']]",136.1,139
Ses02M_script02_1_M023,,exc,3.5,3.5,2.5,"[['exc'], ['exc'], ['exc']]",138.77,143.96
Ses02M_script02_1_M024,,exc,3.5,3.5,3.5,"[['exc'], ['exc'], ['exc']]",143.99,152.01
Ses02M_script02_1_F013,,fru,2,3.5,3,"[['fru'], ['ang'], ['fru']]",151.27,158.26
Ses02M_script02_1_M025,,exc,3,4,3,"[['exc'], ['exc'], ['exc']]",158.01,168.1327
Ses02M_script02_1_M026,,exc,4.5,3,2.5,"[['exc'], ['exc'], ['exc']]",168.174,171.55
Ses02M_script02_1_F014,,fru,2,4,3,"[['fru'], ['ang'], ['fru']]",170.64,178.57
Ses02M_script02_1_M027,,fru,3.5,3.5,2.5,"[['exc'], ['fru'], ['fru']]",178.64,180.09
Ses02M_script02_1_F015,,fru,2,3,2.5,"[['fru'], ['fru'], ['fru']]",179.74,180.91
Ses02M_script02_1_M028,,exc,3,4,2.5,"[['exc'], ['exc'], ['exc']]",180.46,190.41
Ses02M_script02_1_M029,,exc,3,3.5,3,"[['fru'], ['exc'], ['exc']]",190.44,198.25
Ses02M_script02_1_F016,,sad,2.5,3,2,"[['sad'], ['neu'], ['sad']]",197.37,199
Ses02M_script02_1_M030,,sur,2,2.5,1.5,"[['fru'], ['sur'], ['sur']]",199.14,200.36
Ses02M_script02_1_F017,,neu,2.5,2.5,2.5,"[['fru'], ['neu'], ['neu']]",200.09,201.08
Ses02M_script02_1_M031,,xxx,2,2.5,3,"[['fru'], ['sad'], ['exc']]",201.77,206.64
Ses02M_script02_1_M032,,fru,2.5,2.5,2.5,"[['fru'], ['neu'], ['fru']]",206.71,215.35
Ses02M_script02_1_F018,,ang,2,4,3.5,"[['fru'], ['ang'], ['ang']]",214.72,224.97
Ses02M_script02_1_M033,,xxx,2.5,2.5,2.5,"[['exc'], ['neu'], ['fru']]",225.18,227.23
Ses02M_script02_1_F019,,fru,2.5,2.5,2.5,"[['fru'], ['neu'], ['fru']]",226.47,228.48
Ses02M_script02_1_M034,,fru,4,2,2,"[['exc'], ['fru'], ['fru']]",228.19,234.61
Ses02M_script02_1_M035,,exc,2.5,2,2,"[['exc'], ['exc'], ['exc']]",235,240.12
Ses02M_script02_1_M036,,exc,4.5,3,2.5,"[['exc'], ['exc'], ['exc']]",240.14,249.86
Ses02M_script02_1_M037,,exc,4,3,2.5,"[['exc'], ['exc'], ['exc']]",250.67,255.41
Ses02M_script02_1_M038,,exc,3.5,3,2.5,"[['exc'], ['exc'], ['exc']]",255.48,264.04
Ses02M_script02_1_M039,,exc,3.5,3.5,2.5,"[['exc'], ['exc'], ['exc']]",264.11,282.9385
Ses02M_script02_1_M040,,exc,3,3.5,2.5,"[['exc'], ['exc'], ['exc']]",282.97,294.5
Ses02M_script02_1_M041,,exc,4,3.5,2.5,"[['exc'], ['exc'], ['exc']]",294.99,304.38
Ses02M_script02_1_M042,,exc,4.5,3,2.5,"[['exc'], ['exc'], ['exc']]",304.44,307.91
Ses02M_script02_1_F020,,neu,2.5,2.5,3,"[['fru'], ['neu'], ['neu']]",307.26,308.79
Ses02M_script02_1_M043,,xxx,3,2,1.5,"[['exc'], ['neu'], ['sad']]",309.96,311.51
Ses02M_script02_1_F021,,neu,2.5,2,2,"[['fru'], ['neu'], ['neu']]",311.58,312.91
Ses02M_script02_1_M044,,xxx,3,2.5,1.5,"[['exc'], ['neu'], ['sad']]",312.96,314.57
Ses02M_script02_1_F022,,fru,2,2.5,2.5,"[['fru'], ['dis'], ['fru']]",314.67,316.83
Ses02M_script01_2_F000,,ang,2.3333,3,3.3333,"[['exc'], ['ang'], ['ang']]",5.977,8.33
Ses02M_script01_2_M000,,xxx,2.6667,3,2.6667,"[['fru'], ['sur'], ['neu']]",7.89,9.72
Ses02M_script01_2_F001,,ang,2,3.6667,3.3333,"[['fru'], ['ang'], ['ang']]",9.36,13.45
Ses02M_script01_2_M001,,neu,3,3,3,"[['fru'], ['neu'], ['neu']]",12.48,15.54
Ses02M_script01_2_F002,,ang,2.6667,2.3333,3.3333,"[['fru'], ['ang'], ['ang']]",15.21,18.38
Ses02M_script01_2_M002,,fru,3,3,3,"[['fru'], ['neu'], ['fru']]",18.32,23.91
Ses02M_script01_2_M003,,fru,2.6667,2.6667,3,"[['fru'], ['fru'], ['fru']]",24.53,28.52
Ses02M_script01_2_F003,,ang,2.6667,3,3,"[['fru'], ['ang'], ['ang']]",28.3,30.63
Ses02M_script01_2_M004,,neu,3,3.3333,2.6667,"[['fru'], ['neu'], ['neu']]",30.24,32.42
Ses02M_script01_2_F004,,xxx,3,3.3333,3,"[['fea'], ['ang'], ['fru']]",31.65,34.39
Ses02M_script01_2_M005,,neu,3,2.6667,2.6667,"[['fru'], ['neu'], ['neu']]",35.37,37.19
Ses02M_script01_2_F005,,ang,2,3.3333,3.3333,"[['fru'], ['ang'], ['ang']]",36.97,39.22
Ses02M_script01_2_M006,,xxx,3,3,3.3333,"[['fru'], ['sad'], ['neu']]",38.42,40.55
Ses02M_script01_2_F006,,ang,2,4,4,"[['ang'], ['ang'], ['fru']]",39.45,43.03
Ses02M_script01_2_M007,,neu,2.6667,2.6667,3,"[['fru'], ['neu'], ['neu']]",42.55,44.63
Ses02M_script01_2_F007,,fru,2,4,4,"[['fru'], ['ang'], ['fru']]",44.24,53.74
Ses02M_script01_2_M008,,fru,3,2.6667,3,"[['fru'], ['fru'], ['fru']]",53.14,55.52
Ses02M_script01_2_F008,,fru,2.6667,3.6667,3.3333,"[['fru'], ['sad', 'ang'], ['fru']]",55.18,64.18
Ses02M_script01_2_M009,,fru,3,3,3,"[['fru'], ['neu'], ['fru']]",64.73,67.73
Ses02M_script01_2_F009,,fru,2,3.3333,3.3333,"[['fru'], ['ang'], ['fru']]",66.83,74.38
Ses02M_script01_2_M010,,fru,2.3333,3.6667,2.6667,"[['fru'], ['fru'], ['fru']]",73.61,76.2
Ses02M_script01_2_F010,,ang,1.6667,4,3.6667,"[['ang'], ['fru'], ['ang']]",74.84,83.06
Ses02M_script01_2_M011,,fru,2.3333,2.6667,1.6667,"[['fru'], ['fru'], ['fru']]",82.6,84.51
Ses02M_script01_2_F011,,fru,1.6667,3.3333,3.6667,"[['fru'], ['sad'], ['fru', 'ang']]",83.16,88.64
Ses02M_script01_2_F012,,xxx,1.3333,4.3333,3.6667,"[['sad', 'ang'], ['sad'], ['ang']]",88.65,96.17
Ses02M_script01_2_M012,,fru,3,3,3.3333,"[['fru'], ['ang'], ['fru']]",94.99,96.87
Ses02M_script01_2_F013,,sad,1.6667,3.6667,2.6667,"[['sad', 'ang'], ['sad'], ['fru', 'sad']]",96.19,99.83
Ses02M_script01_2_M013,,fru,2.6667,2.6667,3.6667,"[['fru'], ['ang'], ['fru']]",99.14,100.9
Ses02M_script01_2_F014,,fru,2.3333,3.6667,3.6667,"[['fru', 'fea'], ['exc'], ['fru', 'ang']]",99.9,105.81
Ses02M_script01_2_M014,,fru,2,3.6667,4,"[['fru'], ['fru'], ['fru']]",104.64,107.38
Ses02M_script01_2_F015,,fru,2.3333,3.3333,3,"[['fru'], ['sad'], ['fru']]",106.2,109.44
Ses02M_script01_2_M015,,xxx,2,3.6667,3.6667,"[['fru'], ['ang'], ['oth']]",108.72,111.28
Ses02M_script01_2_F016,,fru,2.3333,3,3,"[['fru'], ['sad'], ['fru']]",111.07,113.65
Ses02M_script01_2_M016,,ang,2.3333,3.6667,3.3333,"[['ang'], ['ang'], ['fru']]",113.24,115.93
Ses02M_script01_2_M017,,ang,2.3333,3.6667,3.6667,"[['ang'], ['ang'], ['ang']]",116.1,118.81
Ses02M_script01_2_F017,,fru,1.3333,4,3,"[['fru'], ['sad'], ['fru', 'ang']]",118.05,120.11
Ses02M_script01_2_M018,,fru,1.6667,3.3333,4.3333,"[['fru'], ['fru'], ['ang']]",119.4,124.37
Ses02M_impro08_M000,,neu,3.6667,3,2.6667,"[['fru'], ['neu'], ['neu']]",3.6166,6.0102
Ses02M_impro08_F000,,exc,4,3.6667,2.6667,"[['exc'], ['oth'], ['exc'], ['exc', 'fru']]",5.8326,11.4941
Ses02M_impro08_M001,,xxx,4,3,2.6667,"[['fru'], ['hap'], ['neu']]",10.9934,13.1234
Ses02M_impro08_F001,,exc,3,4,3.3333,"[['exc'], ['neu'], ['exc'], ['neu']]",11.5765,17.4979
Ses02M_impro08_F002,,exc,2.6667,3.6667,3.3333,"[['exc'], ['fru'], ['exc'], ['fru']]",17.5233,23.6412
Ses02M_impro08_M002,,neu,3.3333,3,2.6667,"[['fru'], ['neu'], ['neu']]",22.6205,27.312
Ses02M_impro08_F003,,fru,2.3333,3.6667,3,"[['exc'], ['fru'], ['fru'], ['fru']]",26.2317,31.2805
Ses02M_impro08_F004,,fru,2,4.3333,3.3333,"[['exc'], ['fru'], ['fru'], ['fru']]",31.3039,37.8395
Ses02M_impro08_M003,,neu,3.6667,3.3333,3,"[['neu'], ['neu'], ['neu']]",37.923,48.3927
Ses02M_impro08_M004,,neu,3.6667,3.6667,3,"[['neu'], ['neu'], ['neu']]",48.4404,51.375
Ses02M_impro08_F005,,fru,2,4,3.3333,"[['fru'], ['fru'], ['fru', 'oth'], ['fru']]",51.1141,60.9752
Ses02M_impro08_M005,,neu,4,3.6667,2.6667,"[['neu'], ['hap'], ['neu']]",55.1628,57.5574
Ses02M_impro08_F006,,neu,3.6667,3.6667,2.3333,"[['fru'], ['neu'], ['neu'], ['neu']]",61.0932,63.8674
Ses02M_impro08_M006,,xxx,4,3.3333,2.6667,"[['fru'], ['hap'], ['exc']]",62.0289,63.8421
Ses02M_impro08_F007,,neu,2.6667,3.6667,2.6667,"[['fru'], ['neu'], ['neu'], ['fru', 'fea']]",63.8928,69.3915
Ses02M_impro08_F008,,neu,3,3.6667,2.6667,"[['fru'], ['neu'], ['neu'], ['fru']]",69.5168,73.9495
Ses02M_impro08_F009,,fru,2,3.6667,3,"[['fru'], ['fea'], ['fru'], ['fru', 'fea']]",73.9713,79.1524
Ses02M_impro08_M007,,neu,3,3.3333,2.6667,"[['neu'], ['neu'], ['neu']]",78.1955,82.6714
Ses02M_impro08_F010,,neu,3,3.3333,2,"[['fru'], ['neu'], ['neu'], ['dis']]",80.9592,88.8614
Ses02M_impro08_M008,,neu,3,3.3333,2.6667,"[['neu'], ['neu'], ['neu']]",87.515,90.9077
Ses02M_impro08_F011,,fru,2.6667,3.3333,2,"[['fru'], ['fru'], ['oth'], ['neu']]",88.8844,95.1091
Ses02M_impro08_M009,,neu,3.6667,3,2.6667,"[['neu'], ['neu'], ['neu']]",94.4263,100.1059
Ses02M_impro08_F012,,xxx,2.6667,3.3333,2,"[['fru'], ['neu'], ['oth'], ['fea']]",98.9404,103.3519
Ses02M_impro08_M010,,neu,3,3,3,"[['fru'], ['neu'], ['neu']]",100.1566,102.0586
Ses02M_impro08_M011,,neu,3,3.3333,3,"[['neu'], ['neu'], ['neu']]",103.2505,112.7768
Ses02M_impro08_M012,,neu,3,2.6667,2.6667,"[['neu'], ['neu'], ['neu']]",112.8186,118.1843
Ses02M_impro08_F013,,xxx,3.6667,3.6667,2.3333,"[['exc'], ['sur'], ['neu'], ['oth']]",117.401,121.6994
Ses02M_impro08_M013,,neu,3,3,2.6667,"[['neu'], ['neu'], ['neu']]",118.8972,121.636
Ses02M_impro08_M014,,neu,3.3333,3.3333,2.3333,"[['neu'], ['neu'], ['neu']]",121.6487,124.0197
Ses02M_impro08_F014,,xxx,3,3.6667,2.6667,"[['fru'], ['hap'], ['neu'], ['neu']]",123.0606,125.2593
Ses02M_impro08_M015,,neu,3,3.3333,2.6667,"[['neu'], ['neu'], ['neu']]",124.3367,132.5278
Ses02M_impro08_M016,,neu,3,2.6667,2.6667,"[['neu'], ['neu'], ['neu']]",132.5405,135.3819
Ses02M_impro08_F015,,xxx,2.6667,3,2,"[['fru'], ['oth'], ['neu'], ['neu']]",133.6816,134.696
Ses02M_impro08_F016,,fru,2.3333,3,2.6667,"[['fru'], ['sur'], ['fru', 'oth'], ['fru']]",134.7087,138.8649
Ses02M_impro08_F017,,xxx,2.3333,3,2.6667,"[['fru'], ['sur'], ['oth'], ['fru']]",138.8649,140.6043
Ses02M_impro08_M017,,neu,3,3,3,"[['neu'], ['neu'], ['neu']]",138.8867,140.1928
Ses02M_impro08_M018,,neu,3,2.3333,2.3333,"[['neu'], ['neu'], ['neu']]",140.7806,141.9234
Ses02M_impro08_F018,,fea,2,3,2.3333,"[['fru'], ['fea'], ['fea'], ['fea']]",141.4772,144.8732
Ses02M_impro08_M019,,neu,3,2.6667,2.6667,"[['exc'], ['neu'], ['neu']]",144.3452,148.4281
Ses02M_impro08_F019,,neu,2.6667,2.6667,2,"[['fru'], ['neu'], ['neu'], ['fru']]",147.8773,151.8393
Ses02M_impro08_M020,,neu,3,2.3333,3,"[['neu'], ['neu'], ['neu']]",149.9623,157.3799
Ses02M_impro08_M021,,neu,3.3333,2.6667,3,"[['neu'], ['neu'], ['neu']]",157.3926,164.5089
Ses02M_impro08_F020,,sur,4,3.6667,2.3333,"[['sur'], ['sur'], ['sur'], ['sur']]",164.0735,165.249
Ses02M_impro08_M022,,neu,3,2.6667,2.6667,"[['neu'], ['neu'], ['neu']]",164.5313,166.1633
Ses02M_impro08_F021,,xxx,4,3,3,"[['exc'], ['hap'], ['neu'], ['sur', 'hap']]",165.9457,173.0192
Ses02M_impro08_M023,,neu,3,3,2,"[['neu'], ['neu'], ['neu']]",167.4856,169.3876
Ses02M_impro08_M024,,neu,3,3.3333,2.6667,"[['neu'], ['neu'], ['neu']]",170.5161,172.3926
Ses02M_impro08_M025,,neu,3,3.6667,2.6667,"[['neu'], ['neu'], ['neu']]",172.9118,183.6004
Ses02M_impro08_F022,,xxx,3.3333,3.3333,2.6667,"[['hap'], ['oth'], ['neu'], ['oth']]",183.2845,185.0723
Ses02M_impro08_M026,,neu,3.3333,2.6667,2.6667,"[['neu'], ['neu'], ['neu']]",183.9704,187.7147
Ses02M_impro08_F023,,hap,4,3,2.3333,"[['hap'], ['hap'], ['neu'], ['hap']]",187.3229,188.6099
Ses02M_impro08_M027,,neu,3.3333,3,3,"[['neu'], ['neu'], ['neu']]",187.7365,191.1325
Ses02M_impro08_F024,,hap,3,2.3333,2,"[['hap'], ['hap'], ['neu'], ['neu']]",190.8923,191.894
Ses02M_impro08_M028,,neu,3,3,3,"[['neu'], ['neu'], ['neu']]",191.4882,197.1767
Ses02M_impro08_M029,,neu,3,3.6667,3.3333,"[['neu'], ['neu'], ['neu']]",197.302,208.1746
Ses02M_impro08_F025,,neu,3.6667,3.3333,2.3333,"[['hap'], ['neu'], ['neu'], ['neu']]",199.9925,201.4292
Ses02M_impro08_F026,,neu,3.3333,2.6667,2,"[['hap'], ['neu'], ['neu'], ['neu']]",204.8688,206.1096
Ses02M_impro08_F027,,neu,3.6667,2.6667,2,"[['hap'], ['neu'], ['neu'], ['neu']]",208.1123,209.3096
Ses02M_impro08_M030,,neu,3.3333,2.6667,2.6667,"[['neu'], ['neu'], ['neu']]",208.2,212.2955
Ses02M_impro08_F028,,hap,4,3,3,"[['hap'], ['hap'], ['neu'], ['hap']]",210.1273,213.703
Ses02M_impro08_M031,,neu,3.3333,3,2.3333,"[['neu'], ['neu'], ['neu']]",212.7393,216.277
Ses02M_impro08_F029,,xxx,4,2.6667,2.3333,"[['hap'], ['oth'], ['neu'], ['oth']]",214.6648,216.1669
Ses02M_impro08_F030,,hap,3.6667,3,2.3333,"[['hap'], ['hap'], ['neu'], ['hap']]",216.1796,218.7792
Ses02F_impro06_M000,,neu,3,2.3333,1.6667,"[['neu'], ['neu'], ['oth']]",5.7967,8.0783
Ses02F_impro06_F000,,sad,1.6667,2,2,"[['sad'], ['sad'], ['sad'], ['sad']]",10.31,15.4
Ses02F_impro06_M001,,neu,2,2,1.6667,"[['neu'], ['neu'], ['sur']]",15.7633,20.64
Ses02F_impro06_M002,,neu,2,2.3333,2.3333,"[['neu'], ['sad'], ['neu']]",20.77,23.33
Ses02F_impro06_F001,,sad,1.3333,2,1.6667,"[['sad'], ['sad'], ['sad'], ['sad', 'sur']]",21.15,23.86
Ses02F_impro06_M003,,neu,2.3333,2.3333,1.6667,"[['neu'], ['neu'], ['neu']]",24.56,25.89
Ses02F_impro06_F002,,sad,1.6667,3,2.6667,"[['sad'], ['sad'], ['sad'], ['sad']]",25.52,32.26
Ses02F_impro06_M004,,neu,2.3333,2.3333,2.3333,"[['neu'], ['neu'], ['neu']]",33.11,40.3
Ses02F_impro06_F003,,sad,1.3333,1.3333,1.6667,"[['sad'], ['sad'], ['sad'], ['sad']]",41.73,43.37
Ses02F_impro06_M005,,neu,2.6667,2,2.6667,"[['neu'], ['neu'], ['neu']]",43.34,50.1
Ses02F_impro06_F004,,sad,1.3333,2.6667,2,"[['sad'], ['sad'], ['sad'], ['fru', 'sad']]",52.1888,54.6
Ses02F_impro06_M006,,neu,3,2,2.6667,"[['neu'], ['neu'], ['neu']]",55.58,57.9644
Ses02F_impro06_M007,,neu,3,2,2.3333,"[['neu'], ['neu'], ['neu']]",59.12,68.5
Ses02F_impro06_M008,,neu,2.6667,1.6667,2,"[['neu'], ['neu'], ['neu']]",70.82,76.17
Ses02F_impro06_F005,,sad,1.6667,2,2,"[['sad'], ['sad'], ['sad'], ['sad']]",75.8818,78.68
Ses02F_impro06_F006,,sad,2,2.6667,2.3333,"[['sad'], ['sad'], ['sad'], ['sad']]",82.16,88.2252
Ses02F_impro06_M009,,neu,2.6667,2,2.6667,"[['neu'], ['neu'], ['neu']]",88.4296,99.1347
Ses02F_impro06_M010,,neu,2.6667,3,2.3333,"[['neu'], ['neu'], ['neu']]",100.7536,107.0617
